Sriram,0.0,34.5,61.0,159.5,205.5,213.0,213.0,236.5,271.0,370.0
Srikumar,0.0,0.0,108.0,127.0,147.5,188.5,188.5,203.5,239.5,361.5
Naren,0.0,30.0,71.0,101.5,117.0,206.0,220.5,245.0,311.0,355.0
Sudarshan,0.0,0.0,132.0,147.5,147.5,147.5,195.0,254.0,254.0,331.5
Raghav,0.0,18.5,83.5,128.0,164.0,164.0,202.5,225.5,282.0,304.0
Niranjini,0.0,26.0,146.0,153.5,157.5,163.0,202.0,243.5,243.5,298.5
Shashaank,0.0,7.5,62.0,62.0,190.0,220.0,220.0,222.5,233.5,283.0
Priyanka,0.0,65.5,84.5,103.0,123.5,187.0,187.0,187.0,194.0,240.0
Mahaarajan,0.0,88.0,88.0,94.5,118.0,118.0,124.0,207.5,230.5,230.5
