Vasanth,0.0,144.0
Raghav,0.0,50.5
Niranjini,0.0,34.0
Kumar & Akash,0.0,23.0
Sriram V,0.0,15.5
Arvindh,0.0,15.0
Vasan,0.0,13.0
Manav,0.0,10.0
Mira & Arjun,0.0,0.0
Sriram KM,0.0,0.0
