POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
171,raj bawa,6.5,1,0,0,0,0,2,1.5,0,MI
172,wiaan mulder,6.0,1,0,1,1,0,1,0.0,0,SRH
173,mitchell j owen,5.0,1,0,0,0,0,2,0.0,0,PBKS
174,mustafizur rahman,5.0,1,0,5,0,0,0,0.0,0,DC
175,rovman powell,5.0,2,0,0,1,0,1,0.0,0,KKR
176,shahbaz ahamad,3.5,1,0,1,1,0,0,0.0,0,LSG
177,suryansh shedge,3.5,5,0,1,0,0,1,0.0,0,PBKS
178,chetan sakariya,3.0,1,0,3,0,0,0,0.0,0,KKR
179,manoj bhandage,2.5,1,0,0,0,0,1,0.0,0,RCB
180,rahul chahar,2.0,1,0,2,0,0,0,0.0,0,SRH
181,t natarajan,1.0,2,0,1,0,0,0,0.0,0,DC
