Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,7,5,2,0,0,10,0.984,WWWLW,"vs KKR, RR, SRH",1352/133.5,1272/139.3
Delhi Capitals,7,5,2,0,0,10,0.589,WWLWL,"vs LSG, RCB, KKR",1313/133.2,1290/139.2
Punjab Kings,7,5,2,0,0,10,0.308,LWLWW,"vs RCB, KKR, CSK",1248/128.3,1246/132.3
Lucknow Super Giants,8,5,3,0,0,10,0.088,WWWLW,"vs DC, MI, PBKS",1546/155.4,1529/155.2
Royal Challengers Bengaluru,7,4,3,0,0,8,0.446,LWLWL,"vs PBKS, RR, DC",1196/127.5,1139/127.5
Kolkata Knight Riders,7,3,4,0,0,6,0.547,LWLWL,"vs GT, PBKS, DC",1079/127.4,1021/129.1
Mumbai Indians,7,3,4,0,0,6,0.239,WLLWW,"vs CSK, SRH, LSG",1207/131.0,1249/139.1
Rajasthan Royals,8,2,6,0,0,4,-0.633,WLLLL,"vs RCB, GT, MI",1478/160.0,1530/155.0
Sunrisers Hyderabad,7,2,5,0,0,4,-1.217,LLLWL,"vs MI, CSK, GT",1320/138.3,1365/127.0
Chennai Super Kings,7,2,5,0,0,4,-1.276,LLLLW,"vs MI, SRH, PBKS",1110/138.4,1208/130.1
