Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,1,1,0,0,0,2,2.137,W,"vs CSK, GT, MI",177/16.2,174/20.0
Lucknow Super Giants,2,1,1,0,0,2,0.963,LW,"vs PBKS, MI, KKR",402/36.1,401/39.3
Punjab Kings,1,1,0,0,0,2,0.550,W,"vs LSG, RR, CSK",243/20.0,232/20.0
Chennai Super Kings,1,1,0,0,0,2,0.493,W,"vs RCB, RR, DC",158/19.1,155/20.0
Delhi Capitals,1,1,0,0,0,2,0.371,W,"vs SRH, CSK, RCB",211/19.3,209/20.0
Sunrisers Hyderabad,2,1,1,0,0,2,-0.128,WL,"vs DC, KKR, GT",476/40.0,435/36.1
Kolkata Knight Riders,2,1,1,0,0,2,-0.308,LW,"vs MI, SRH, LSG",327/37.3,328/36.2
Mumbai Indians,1,0,1,0,0,0,-0.493,L,"vs GT, KKR, LSG",155/20.0,158/19.1
Gujarat Titans,1,0,1,0,0,0,-0.550,L,"vs MI, RCB, SRH",232/20.0,243/20.0
Rajasthan Royals,2,0,2,0,0,0,-1.882,LL,"vs CSK, PBKS, GT",393/40.0,439/37.3
