POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,83.0,2,0,0,12,13,3,0.0,0,LSG
2,mitchell marsh,60.5,2,0,0,13,8,0,0.0,0,LSG
3,travis head,56.0,2,0,0,14,6,0,0.0,0,SRH
4,b. sai sudharsan,53.0,2,0,0,9,8,1,0.0,0,GT
5,phil salt,53.0,2,0,0,14,3,3,0.0,0,RCB
6,ishan kishan,51.0,2,0,0,11,6,1,0.0,0,SRH
7,josh hazlewood,48.5,2,5,31,0,0,0,0.0,0,RCB
8,quinton de kock,46.0,2,0,0,9,6,1,0.0,0,KKR
9,dhruv jurel,46.0,2,0,0,10,6,0,0.0,0,RR
10,shreyas iyer,44.0,1,0,0,5,9,0,0.0,0,PBKS
11,noor ahmad,43.5,2,7,19,0,0,0,0.0,0,CSK
12,khaleel ahmed,42.0,2,4,28,0,0,0,0.0,0,CSK
13,pat cummins,38.0,2,2,13,0,3,3,0.0,0,SRH
14,ajinkya rahane,37.5,2,0,0,7,5,1,0.0,0,KKR
15,shardul thakur,37.0,2,6,16,0,0,0,0.0,0,LSG
16,rajat patidar,36.5,2,0,0,9,4,0,0.0,0,RCB
17,sanju samson,36.5,2,0,0,9,4,0,0.0,0,RR
18,deepak chahar,34.5,2,2,14,2,2,0,1.5,0,MI
19,rachin ravindra,34.0,2,0,0,7,4,1,0.0,0,CSK
20,jos buttler,33.0,2,0,0,9,3,0,0.0,0,GT
21,sai kishore,32.0,2,4,18,0,0,0,0.0,0,GT
22,shubman gill,31.5,2,0,0,6,4,1,0.0,0,GT
23,mohammed siraj,31.5,2,2,22,0,0,1,0.0,0,GT
24,sunil narine,31.5,1,1,5,5,3,0,0.0,0,KKR
25,digvesh,31.0,2,3,18,0,0,1,0.0,0,LSG
26,varun chakaravarthy,30.5,2,3,20,0,0,0,0.0,0,KKR
27,ruturaj gaikwad,30.5,2,0,0,6,3,2,0.0,0,CSK
28,ashutosh sharma,30.0,1,0,0,5,5,0,0.0,0,DC
29,virat kohli,29.0,2,0,0,6,4,0,0.0,0,RCB
30,ravindra jadeja,29.0,2,0,13,3,1,2,0.0,0,CSK
31,n tilak varma,28.0,2,0,0,5,3,2,0.0,0,MI
32,sherfane rutherford,27.5,2,0,0,4,5,0,0.0,0,GT
33,maheesh theekshana,27.5,2,2,19,0,0,0,1.5,0,RR
34,prasidh krishna,27.0,2,2,20,0,0,0,0.0,0,GT
35,heinrich klaasen,27.0,2,0,0,7,2,1,0.0,0,SRH
36,harshit rana,27.0,2,2,15,1,0,1,0.0,0,KKR
37,priyansh arya,27.0,1,0,0,7,2,1,0.0,0,PBKS
38,riyan parag,26.5,2,0,7,1,3,2,1.5,0,RR
39,ravi bishnoi,26.5,2,3,16,0,0,0,0.0,0,LSG
40,abhishek sharma,26.0,2,0,11,6,0,0,0.0,0,SRH
41,liam livingstone,26.0,2,2,7,2,2,0,0.0,0,RCB
42,vipraj nigam,26.0,1,1,3,5,2,0,0.0,0,DC
