Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,8,6,2,0,0,12,1.104,WWLWW,"vs RR, SRH, MI",1550/153.5,1431/159.3
Delhi Capitals,8,6,2,0,0,12,0.657,WLWLW,"vs RCB, KKR, SRH",1474/151.1,1449/159.2
Royal Challengers Bengaluru,9,6,3,0,0,12,0.482,LWLWW,"vs DC, CSK, LSG",1560/166.4,1490/167.5
Mumbai Indians,9,5,4,0,0,10,0.673,LWWWW,"vs LSG, RR, GT",1530/162.2,1568/179.1
Punjab Kings,8,5,3,0,0,10,0.177,WLWWL,"vs KKR, CSK, LSG",1405/148.3,1405/151.2
Lucknow Super Giants,9,5,4,0,0,10,-0.054,WWLWL,"vs MI, PBKS, RCB",1705/175.4,1690/173.1
Kolkata Knight Riders,8,3,5,0,0,6,0.212,WLWLL,"vs PBKS, DC, RR",1238/147.4,1219/149.1
Sunrisers Hyderabad,9,3,6,0,0,6,-1.103,LWLLW,"vs GT, DC, KKR",1618/177.1,1665/162.4
Rajasthan Royals,9,2,7,0,0,4,-0.625,LLLLL,"vs GT, MI, KKR",1672/180.0,1735/175.0
Chennai Super Kings,9,2,7,0,0,4,-1.302,LLWLL,"vs PBKS, RCB, KKR",1440/178.4,1540/164.3
