POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,219.0,10,0,0,33,34,7,0.0,0,LSG
2,sunil narine,200.5,9,10,66,17,14,2,3.0,0,KKR
3,yashasvi jaiswal,197.0,10,0,0,41,22,7,0.0,0,RR
4,suryakumar yadav,190.5,10,0,0,42,23,2,0.0,0,MI
5,axar patel,189.5,10,5,60,20,14,4,3.0,0,DC
6,b. sai sudharsan,183.5,9,0,0,46,16,5,0.0,0,GT
7,jos buttler,182.0,9,0,0,43,17,4,0.0,2,GT
8,aiden markram,170.5,10,4,14,30,15,6,0.0,0,LSG
9,josh hazlewood,168.5,10,18,103,0,0,1,0.0,0,RCB
10,priyansh arya,164.5,9,0,0,32,22,3,0.0,0,PBKS
11,ryan rickelton,164.5,10,0,0,35,12,8,7.5,3,MI
12,mitchell marsh,162.5,9,0,0,36,20,1,0.0,0,LSG
13,prasidh krishna,159.0,9,17,92,0,0,3,0.0,0,GT
14,virat kohli,153.5,10,0,0,39,13,3,3.0,0,RCB
15,mitchell starc,151.5,10,14,85,0,0,7,0.0,0,DC
16,shubman gill,150.5,9,0,0,38,13,4,0.0,0,GT
17,hardik pandya,147.5,9,12,54,9,6,2,3.0,0,MI
18,vipraj nigam,146.5,10,9,57,11,6,2,4.5,0,DC
19,abhishek sharma,144.5,9,0,16,31,11,5,0.0,0,SRH
20,mohammed siraj,144.0,9,12,97,0,0,2,0.0,0,GT
21,pat cummins,143.5,9,9,72,5,5,4,0.0,0,SRH
22,varun chakaravarthy,141.0,10,13,93,0,0,1,0.0,0,KKR
23,riyan parag,141.0,10,0,14,18,18,7,1.5,0,RR
24,harshit rana,139.5,10,11,81,3,0,5,0.0,0,KKR
25,k l rahul,139.0,9,0,0,29,16,3,3.0,0,DC
26,prabhsimran singh,139.0,9,0,0,34,14,1,0.0,1,PBKS
27,khaleel ahmed,138.0,9,12,93,0,0,0,3.0,0,CSK
28,bhuvneshwar kumar,138.0,9,12,87,1,0,2,1.5,0,RCB
29,jofra archer,137.5,10,10,93,0,2,1,0.0,0,RR
30,krunal pandya,137.0,10,13,55,7,4,2,0.0,0,RCB
31,ajinkya rahane,136.0,10,0,0,28,16,4,0.0,0,KKR
32,phil salt,135.5,9,0,0,30,13,6,0.0,0,RCB
33,kuldeep yadav,134.0,10,12,87,2,0,0,0.0,0,DC
34,travis head,131.5,9,0,0,37,9,3,0.0,0,SRH
35,heinrich klaasen,127.5,9,0,0,28,12,5,3.0,0,SRH
36,trent boult,126.5,10,13,81,0,0,0,0.0,0,MI
37,ravindra jadeja,124.0,9,6,48,10,6,3,1.5,0,CSK
38,shreyas iyer,123.5,9,0,0,18,21,2,0.0,0,PBKS
39,vaibhav arora,120.0,9,12,69,0,0,3,1.5,0,KKR
40,deepak chahar,119.0,10,8,75,2,2,1,1.5,0,MI
41,marco jansen,119.0,9,8,62,2,4,4,0.0,0,PBKS
42,digvesh singh,116.5,10,10,79,0,0,1,0.0,0,LSG
43,ravi bishnoi,115.5,10,9,67,0,2,4,0.0,0,LSG
44,noor ahmad,113.0,9,14,64,0,0,0,0.0,0,CSK
45,shardul thakur,112.5,9,12,58,2,0,3,0.0,0,LSG
46,arshdeep singh,111.5,9,11,70,0,0,0,3.0,0,PBKS
47,tim david,108.0,10,0,0,16,14,7,1.5,0,RCB
48,will jacks,107.5,9,5,25,12,6,5,1.5,0,MI
49,abishek porel,106.0,10,0,0,26,9,2,4.5,0,DC
50,dhruv jurel,105.5,10,0,0,17,14,5,1.5,0,RR
51,rashid khan,105.5,9,7,64,1,2,3,0.0,0,GT
52,rohit sharma,104.5,9,0,0,18,17,0,0.0,0,MI
53,mukesh kumar,102.5,10,9,66,0,0,2,0.0,0,DC
54,n tilak varma,102.5,10,0,0,20,10,7,0.0,0,MI
55,harshal patel,101.5,8,13,51,0,0,2,0.0,0,SRH
56,avesh khan,101.0,9,10,61,0,0,2,0.0,0,LSG
57,sanju samson,100.0,7,0,0,23,10,2,0.0,1,RR
58,tristan stubbs,99.5,10,0,3,19,9,7,0.0,0,DC
59,nitish rana,99.0,10,0,0,25,9,2,0.0,0,RR
60,sai kishore,99.0,9,12,47,0,0,4,0.0,0,GT
61,yash dayal,99.0,10,9,65,0,0,1,0.0,0,RCB
62,mitchell santner,98.0,9,4,53,2,3,5,3.0,0,MI
63,devdutt padikkal,98.0,9,0,0,20,13,1,0.0,0,RCB
64,naman dhir,97.5,10,0,7,14,8,11,0.0,0,MI
65,andre russell,95.0,10,8,22,8,5,3,0.0,0,KKR
66,suyash sharma,94.5,9,4,78,0,0,1,0.0,0,RCB
67,ayush badoni,94.0,10,0,0,22,9,3,0.0,0,LSG
68,shivam dube,93.0,9,0,0,17,13,2,0.0,0,CSK
69,jitesh sharma,92.5,10,0,0,12,7,13,3.0,1,RCB
70,shimron hetmyer,90.5,10,0,0,14,9,9,1.5,0,RR
71,angkrish raghuvanshi,90.5,9,0,0,24,8,1,0.0,0,KKR
72,rajat patidar,90.0,10,0,0,20,10,2,0.0,0,RCB
73,maheesh theekshana,90.0,9,9,57,0,0,0,1.5,0,RR
74,sandeep sharma,89.5,10,9,54,0,0,1,1.5,0,RR
75,aniket verma,88.5,9,0,0,9,16,4,0.0,0,SRH
76,wanindu hasaranga,88.5,8,10,47,0,0,2,1.5,0,RR
77,jasprit bumrah,88.0,6,9,54,0,0,1,0.0,0,MI
78,mohammed shami,86.5,8,6,58,1,0,2,0.0,0,SRH
79,karun nair,86.5,6,0,0,19,8,2,6.0,0,DC
80,sherfane rutherford,83.0,8,0,0,15,13,0,0.0,0,GT
81,nehal wadhera,83.0,8,0,1,14,12,2,0.0,0,PBKS
82,matheesha pathirana,80.5,7,7,51,0,0,2,0.0,0,CSK
83,ishan kishan,79.5,9,0,0,19,7,3,0.0,0,SRH
84,yuzvendra chahal,79.5,9,9,43,0,0,2,0.0,0,PBKS
85,vaibhav suryavanshi,78.5,3,0,0,9,16,0,0.0,0,RR
86,ms dhoni,77.5,9,0,0,11,8,3,4.5,4,CSK
87,rinku singh,77.0,10,0,0,17,7,4,0.0,0,KKR
88,glenn maxwell,70.5,7,4,28,5,1,5,0.0,0,PBKS
89,ravichandran ashwin,70.0,7,5,40,1,0,4,0.0,0,CSK
90,faf du plessis,69.5,5,0,0,15,7,3,0.0,0,DC
91,quinton de kock,68.5,7,0,0,9,11,3,0.0,0,KKR
92,zeeshan ansari,65.5,7,5,38,0,0,4,0.0,0,SRH
93,ashutosh sharma,64.0,9,0,0,11,9,2,0.0,0,DC
94,rachin ravindra,64.0,8,0,0,18,4,2,0.0,0,CSK
95,tushar deshpande,63.5,8,6,40,0,0,1,0.0,0,RR
96,venkatesh iyer,63.0,10,0,0,15,4,4,1.5,0,KKR
97,liam livingstone,59.0,7,2,10,4,7,3,0.0,0,RCB
98,ruturaj gaikwad,56.5,5,0,0,14,4,3,0.0,0,CSK
99,abdul samad,56.0,9,0,1,6,10,2,0.0,0,LSG
100,rishabh pant,54.0,10,0,0,9,5,4,1.5,1,LSG
101,shashank singh,54.0,9,0,3,10,6,2,0.0,0,PBKS
102,david miller,53.0,10,0,0,13,3,4,0.0,0,LSG
103,prince yadav,52.5,5,2,36,0,0,2,4.5,0,LSG
104,vignesh puthur,50.0,5,6,24,0,0,2,0.0,0,MI
105,washington sundar,48.0,4,2,13,5,3,2,0.0,0,GT
106,lockie ferguson,48.0,4,5,28,1,0,0,0.0,0,PBKS
107,marcus stoinis,47.5,7,0,18,2,7,0,0.0,0,PBKS
108,nitish kumar reddy,47.0,9,0,0,14,2,2,0.0,0,SRH
109,mohd arshad khan,45.5,5,3,25,0,0,4,0.0,0,GT
110,ishant sharma,43.5,6,3,28,0,0,2,0.0,0,GT
111,xavier bartlett,42.0,3,2,25,1,0,3,0.0,0,PBKS
112,ashwani kumar,39.5,3,6,16,0,0,1,0.0,0,MI
113,shahrukh khan,38.5,9,0,0,5,6,2,0.0,0,GT
114,moeen ali,37.5,4,3,22,0,0,2,0.0,0,KKR
115,ayush mhatre,37.0,2,0,0,10,2,2,0.0,0,CSK
116,eshan malinga,36.5,3,5,19,0,0,0,0.0,0,SRH
117,kamindu mendis,36.5,3,2,10,4,2,1,0.0,0,SRH
118,anshul kamboj,35.5,3,3,25,0,0,0,0.0,0,CSK
119,vijay shankar,35.5,6,0,0,8,3,2,0.0,0,CSK
120,rahul tewatia,35.0,9,0,0,3,5,4,0.0,0,GT
121,mohit sharma,35.0,6,2,28,0,0,0,0.0,0,DC
122,akash deep,32.5,4,3,22,0,0,0,0.0,0,LSG
123,devon conway,32.0,3,0,0,9,2,1,0.0,0,CSK
124,spencer johnson,32.0,4,1,26,0,0,1,0.0,0,KKR
125,jake fraser-mcgurk,32.0,6,0,0,7,2,3,0.0,0,DC
126,corbin bosch,31.0,1,1,14,2,1,2,0.0,0,MI
127,simarjeet singh,29.0,4,2,22,0,0,0,0.0,0,SRH
128,jaydev unadkat,29.0,3,3,16,0,0,1,0.0,0,SRH
129,josh inglis,28.5,4,0,0,6,1,3,0.0,1,PBKS
130,shubham dubey,27.5,7,0,0,3,5,1,0.0,0,RR
131,karn sharma,25.5,3,3,10,0,0,2,0.0,0,MI
132,harpreet brar,24.5,3,3,14,0,0,0,0.0,0,PBKS
133,kagiso rabada,24.5,2,2,14,0,1,0,0.0,0,GT
134,dushmantha chameera,24.0,3,3,11,0,0,1,0.0,0,DC
135,abhinav manohar,23.0,5,0,0,2,3,3,0.0,0,SRH
136,ramandeep singh,22.0,8,0,0,1,2,5,0.0,0,KKR
137,m siddharth,21.5,2,2,12,0,0,1,0.0,0,LSG
138,rahmanullah gurbaz,21.0,3,0,0,5,1,2,0.0,0,KKR
139,rahul tripathi,21.0,5,0,0,6,1,1,0.0,0,CSK
140,rasikh dar,20.0,2,1,14,0,0,1,0.0,0,RCB
141,shaik rasheed,20.0,3,0,0,7,0,1,0.0,0,CSK
142,sam curran,19.5,3,0,12,1,0,2,0.0,0,CSK
143,mayank yadav,19.0,1,2,12,0,0,0,0.0,0,LSG
144,kumar kartikeya singh,19.0,3,2,12,0,0,0,0.0,0,RR
145,adam zampa,17.0,2,2,10,0,0,0,0.0,0,SRH
146,dewald brevis,16.5,1,0,0,1,4,0,0.0,0,CSK
147,deepak hooda,16.0,4,0,0,2,1,3,0.0,0,CSK
148,jamie overton,16.0,3,0,10,1,1,0,0.0,0,CSK
149,mukesh choudhary,14.5,2,1,11,0,0,0,0.0,0,CSK
150,yash thakur,14.5,2,1,11,0,0,0,0.0,0,PBKS
151,anukul roy,14.0,1,1,8,0,0,1,0.0,0,KKR
152,fazalhaq farooqi,14.0,3,0,14,0,0,0,0.0,0,RR
153,anrich nortje,13.5,1,1,10,0,0,0,0.0,0,KKR
154,azmatullah omarzai,11.5,2,0,3,2,1,0,0.0,0,PBKS
155,yudhvir singh,11.0,2,0,11,0,0,0,0.0,0,RR
156,romario shepherd,11.0,3,1,5,0,0,1,0.0,0,RCB
157,pvsn raju,10.0,2,1,4,0,0,1,0.0,0,MI
158,kulwant khejroliya,10.0,1,1,4,0,0,1,0.0,0,GT
159,nathan ellis,9.5,1,1,6,0,0,0,0.0,0,CSK
160,jacob bethell,8.5,1,0,0,1,1,1,0.0,0,RCB
161,sameer rizvi,8.5,2,0,0,2,1,0,0.0,0,DC
162,manish pandey,8.5,1,0,0,2,1,0,0.0,0,KKR
163,mujeeb ur rahman,7.5,1,1,4,0,0,0,0.0,0,MI
164,vyshak vijay kumar,7.0,1,0,7,0,0,0,0.0,0,PBKS
165,raj bawa,6.5,1,0,0,0,0,2,1.5,0,MI
166,wiaan mulder,6.0,1,0,1,1,0,1,0.0,0,SRH
167,rovman powell,5.0,2,0,0,1,0,1,0.0,0,KKR
168,shahbaz ahamad,3.5,1,0,1,1,0,0,0.0,0,LSG
169,chetan sakariya,3.0,1,0,3,0,0,0,0.0,0,KKR
170,manoj bhandage,2.5,1,0,0,0,0,1,0.0,0,RCB
171,suryansh shedge,2.5,4,0,0,0,0,1,0.0,0,PBKS
172,rahul chahar,2.0,1,0,2,0,0,0,0.0,0,SRH
