Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,12,9,3,0,0,18,0.795,WLWWW,"vs LSG, CSK",2335/231.5,2174/234.2
Royal Challengers Bengaluru,12,8,3,0,1,17,0.482,WWWWA,"vs SRH, LSG",1938/205.1,1863/207.5
Punjab Kings,12,8,3,0,1,17,0.389,LNRWWW,"vs DC, MI",2054/208.1,2003/211.2
Mumbai Indians,12,7,5,0,0,14,1.156,WWWWL,"vs DC, PBKS",2108/221.2,1993/238.1
Delhi Capitals,12,6,5,0,1,13,0.260,WLLNRL,"vs MI, PBKS",2025/211.1,2023/216.5
Kolkata Knight Riders,13,5,6,0,2,12,0.193,NRWWLA,vs SRH,1827/207.4,1797/208.5
Lucknow Super Giants,11,5,6,0,0,10,-0.469,LWLLL,"vs SRH, GT, RCB",2065/215.4,2141/213.1
Sunrisers Hyderabad,11,3,7,0,1,7,-1.192,LLWLNR,"vs LSG, RCB, KKR",1804/197.1,1889/182.4
Rajasthan Royals,13,3,10,0,0,6,-0.701,LWLLL,vs CSK,2415/255.5,2586/255.0
Chennai Super Kings,12,3,9,0,0,6,-0.992,LLLLW,"vs RR, GT",2024/238.2,2126/224.1
