Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,1,1,0,0,0,2,2.137,W,"vs CSK, GT, MI",177/16.2,174/20.0
Kolkata Knight Riders,1,0,1,0,0,0,-2.137,L,"vs RR, MI, SRH",174/20.0,177/16.2
Sunrisers Hyderabad,-,-,-,-,-,-,-,,"vs LSG, DC, KKR",-,-
Chennai Super Kings,-,-,-,-,-,-,-,,"vs RCB, RR, DC",-,-
Mumbai Indians,-,-,-,-,-,-,-,,"vs GT, KKR, LSG",-,-
Rajasthan Royals,-,-,-,-,-,-,-,,"vs KKR, CSK, PBKS",-,-
Delhi Capitals,-,-,-,-,-,-,-,,"vs LSG, SRH, CSK",-,-
Gujarat Titans,-,-,-,-,-,-,-,,"vs PBKS, MI, RCB",-,-
Lucknow Super Giants,-,-,-,-,-,-,-,,"vs DC, SRH, PBKS",-,-
Punjab Kings,-,-,-,-,-,-,-,,"vs GT, LSG, RR",-,-
