POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,203.5,9,0,0,32,31,6,0.0,0,LSG
2,b. sai sudharsan,170.0,8,0,0,42,15,5,0.0,0,GT
3,yashasvi jaiswal,167.5,9,0,0,32,20,7,0.0,0,RR
4,aiden markram,165.5,9,4,14,28,15,6,0.0,0,LSG
5,suryakumar yadav,164.0,9,0,0,38,19,1,0.0,0,MI
6,jos buttler,160.5,8,0,0,40,13,4,0.0,2,GT
7,sunil narine,154.0,7,7,50,14,12,1,0.0,0,KKR
8,josh hazlewood,149.0,9,16,93,0,0,0,0.0,0,RCB
9,prasidh krishna,148.5,8,16,85,0,0,3,0.0,0,GT
10,mitchell marsh,145.5,8,0,0,33,18,0,0.0,0,LSG
11,hardik pandya,145.5,8,12,52,9,6,2,3.0,0,MI
12,abhishek sharma,144.5,9,0,16,31,11,5,0.0,0,SRH
13,pat cummins,143.5,9,9,72,5,5,4,0.0,0,SRH
14,mohammed siraj,140.0,8,12,93,0,0,2,0.0,0,GT
15,virat kohli,139.5,9,0,0,35,13,2,1.5,0,RCB
16,khaleel ahmed,138.0,9,12,93,0,0,0,3.0,0,CSK
17,phil salt,135.5,9,0,0,30,13,6,0.0,0,RCB
18,ryan rickelton,135.5,9,0,0,29,8,8,7.5,3,MI
19,axar patel,134.0,8,1,45,15,10,4,3.0,0,DC
20,travis head,131.5,9,0,0,37,9,3,0.0,0,SRH
21,priyansh arya,130.5,8,0,0,24,18,3,0.0,0,PBKS
22,k l rahul,129.0,7,0,0,25,16,3,3.0,0,DC
23,jofra archer,128.0,9,9,87,0,2,1,0.0,0,RR
24,heinrich klaasen,127.5,9,0,0,28,12,5,3.0,0,SRH
25,harshit rana,125.0,8,11,69,3,0,4,0.0,0,KKR
26,shubman gill,124.0,8,0,0,33,9,4,0.0,0,GT
27,riyan parag,124.0,9,0,14,16,16,5,1.5,0,RR
28,ravindra jadeja,124.0,9,6,48,10,6,3,1.5,0,CSK
29,ajinkya rahane,122.5,8,0,0,24,15,4,0.0,0,KKR
30,kuldeep yadav,119.0,8,12,72,2,0,0,0.0,0,DC
31,mitchell starc,118.0,8,11,67,0,0,5,0.0,0,DC
32,shreyas iyer,117.5,8,0,0,17,20,2,0.0,0,PBKS
33,marco jansen,115.0,8,8,58,2,4,4,0.0,0,PBKS
34,varun chakaravarthy,114.5,8,10,77,0,0,1,0.0,0,KKR
35,bhuvneshwar kumar,113.5,8,9,77,1,0,1,0.0,0,RCB
36,noor ahmad,113.0,9,14,64,0,0,0,0.0,0,CSK
37,shardul thakur,112.5,9,12,58,2,0,3,0.0,0,LSG
38,arshdeep singh,111.5,8,11,70,0,0,0,3.0,0,PBKS
39,deepak chahar,111.0,9,8,67,2,2,1,1.5,0,MI
40,digvesh singh,108.0,9,9,74,0,0,1,0.0,0,LSG
41,vipraj nigam,106.0,8,7,49,6,3,1,4.5,0,DC
42,dhruv jurel,105.5,9,0,0,17,14,5,1.5,0,RR
43,trent boult,105.0,9,10,70,0,0,0,0.0,0,MI
44,prabhsimran singh,103.0,8,0,0,28,8,1,0.0,1,PBKS
45,krunal pandya,102.0,9,12,50,2,0,2,0.0,0,RCB
46,harshal patel,101.5,8,13,51,0,0,2,0.0,0,SRH
47,sanju samson,100.0,7,0,0,23,10,2,0.0,1,RR
48,mitchell santner,98.0,9,4,53,2,3,5,3.0,0,MI
49,devdutt padikkal,98.0,8,0,0,20,13,1,0.0,0,RCB
50,ravi bishnoi,98.0,9,8,60,0,0,4,0.0,0,LSG
51,rohit sharma,97.5,8,0,0,18,15,0,0.0,0,MI
52,n tilak varma,97.5,9,0,0,19,10,6,0.0,0,MI
53,tim david,97.0,9,0,0,13,13,7,1.5,0,RCB
54,sai kishore,97.0,8,12,45,0,0,4,0.0,0,GT
55,nitish rana,96.5,9,0,0,24,9,2,0.0,0,RR
56,vaibhav arora,93.0,7,9,55,0,0,2,1.5,0,KKR
57,shivam dube,93.0,9,0,0,17,13,2,0.0,0,CSK
58,rashid khan,92.0,8,6,54,1,2,3,0.0,0,GT
59,jitesh sharma,90.0,9,0,0,12,7,12,3.0,1,RCB
60,mukesh kumar,89.5,8,9,53,0,0,2,0.0,0,DC
61,aniket verma,88.5,9,0,0,9,16,4,0.0,0,SRH
62,avesh khan,88.0,8,8,55,0,0,2,0.0,0,LSG
63,shimron hetmyer,88.0,9,0,0,14,9,8,1.5,0,RR
64,rajat patidar,87.5,9,0,0,19,10,2,0.0,0,RCB
65,suyash sharma,86.5,8,4,70,0,0,1,0.0,0,RCB
66,mohammed shami,86.5,8,6,58,1,0,2,0.0,0,SRH
67,abishek porel,86.0,8,0,0,23,7,1,1.5,0,DC
68,yash dayal,85.5,9,8,55,0,0,1,0.0,0,RCB
69,wanindu hasaranga,83.5,7,10,42,0,0,2,1.5,0,RR
70,tristan stubbs,83.5,8,0,3,14,8,7,0.0,0,DC
71,will jacks,83.0,8,3,21,9,5,4,1.5,0,MI
72,sherfane rutherford,83.0,8,0,0,15,13,0,0.0,0,GT
73,nehal wadhera,83.0,7,0,1,14,12,2,0.0,0,PBKS
74,naman dhir,83.0,9,0,7,12,6,10,0.0,0,MI
75,matheesha pathirana,80.5,7,7,51,0,0,2,0.0,0,CSK
76,ishan kishan,79.5,9,0,0,19,7,3,0.0,0,SRH
77,yuzvendra chahal,79.5,8,9,43,0,0,2,0.0,0,PBKS
78,ayush badoni,79.5,9,0,0,20,7,2,0.0,0,LSG
79,maheesh theekshana,79.0,8,7,53,0,0,0,1.5,0,RR
80,sandeep sharma,79.0,9,8,47,0,0,1,1.5,0,RR
81,ms dhoni,77.5,9,0,0,11,8,3,4.5,4,CSK
82,angkrish raghuvanshi,76.0,7,0,0,21,6,1,0.0,0,KKR
83,karun nair,71.0,4,0,0,16,8,0,3.0,0,DC
84,ravichandran ashwin,70.0,7,5,40,1,0,4,0.0,0,CSK
85,quinton de kock,68.5,7,0,0,9,11,3,0.0,0,KKR
86,andre russell,68.0,8,6,13,6,4,2,0.0,0,KKR
87,glenn maxwell,68.0,6,4,28,4,1,5,0.0,0,PBKS
88,zeeshan ansari,65.5,7,5,38,0,0,4,0.0,0,SRH
89,rachin ravindra,64.0,8,0,0,18,4,2,0.0,0,CSK
90,tushar deshpande,63.5,8,6,40,0,0,1,0.0,0,RR
91,rinku singh,63.5,8,0,0,14,6,3,0.0,0,KKR
92,ashutosh sharma,60.5,7,0,0,11,8,2,0.0,0,DC
93,jasprit bumrah,60.0,5,5,40,0,0,1,0.0,0,MI
94,liam livingstone,59.0,7,2,10,4,7,3,0.0,0,RCB
95,venkatesh iyer,58.0,8,0,0,14,4,3,1.5,0,KKR
96,ruturaj gaikwad,56.5,5,0,0,14,4,3,0.0,0,CSK
97,abdul samad,56.0,8,0,1,6,10,2,0.0,0,LSG
98,shashank singh,54.0,8,0,3,10,6,2,0.0,0,PBKS
99,rishabh pant,51.5,9,0,0,8,5,4,1.5,1,LSG
100,vignesh puthur,50.0,5,6,24,0,0,2,0.0,0,MI
101,lockie ferguson,48.0,4,5,28,1,0,0,0.0,0,PBKS
102,marcus stoinis,47.5,7,0,18,2,7,0,0.0,0,PBKS
103,nitish kumar reddy,47.0,9,0,0,14,2,2,0.0,0,SRH
104,mohd arshad khan,45.5,5,3,25,0,0,4,0.0,0,GT
105,david miller,45.5,9,0,0,10,3,4,0.0,0,LSG
106,washington sundar,43.5,3,2,12,5,2,2,0.0,0,GT
107,xavier bartlett,42.0,3,2,25,1,0,3,0.0,0,PBKS
108,faf du plessis,40.0,3,0,0,6,5,3,0.0,0,DC
109,ashwani kumar,39.5,3,6,16,0,0,1,0.0,0,MI
110,ishant sharma,39.5,5,3,24,0,0,2,0.0,0,GT
111,moeen ali,37.5,4,3,22,0,0,2,0.0,0,KKR
112,ayush mhatre,37.0,2,0,0,10,2,2,0.0,0,CSK
113,eshan malinga,36.5,3,5,19,0,0,0,0.0,0,SRH
114,kamindu mendis,36.5,3,2,10,4,2,1,0.0,0,SRH
115,prince yadav,36.0,4,1,28,0,0,0,4.5,0,LSG
116,shahrukh khan,36.0,8,0,0,4,6,2,0.0,0,GT
117,anshul kamboj,35.5,3,3,25,0,0,0,0.0,0,CSK
118,vijay shankar,35.5,6,0,0,8,3,2,0.0,0,CSK
119,mohit sharma,35.0,6,2,28,0,0,0,0.0,0,DC
120,akash deep,32.5,4,3,22,0,0,0,0.0,0,LSG
121,devon conway,32.0,3,0,0,9,2,1,0.0,0,CSK
122,spencer johnson,32.0,4,1,26,0,0,1,0.0,0,KKR
123,jake fraser-mcgurk,32.0,6,0,0,7,2,3,0.0,0,DC
124,rahul tewatia,31.5,8,0,0,3,4,4,0.0,0,GT
125,simarjeet singh,29.0,4,2,22,0,0,0,0.0,0,SRH
126,jaydev unadkat,29.0,3,3,16,0,0,1,0.0,0,SRH
127,shubham dubey,27.5,6,0,0,3,5,1,0.0,0,RR
128,harpreet brar,24.5,2,3,14,0,0,0,0.0,0,PBKS
129,kagiso rabada,24.5,2,2,14,0,1,0,0.0,0,GT
130,josh inglis,23.5,3,0,0,4,1,3,0.0,1,PBKS
131,abhinav manohar,23.0,5,0,0,2,3,3,0.0,0,SRH
132,vaibhav suryavanshi,22.5,2,0,0,2,5,0,0.0,0,RR
133,ramandeep singh,22.0,8,0,0,1,2,5,0.0,0,KKR
134,m siddharth,21.5,2,2,12,0,0,1,0.0,0,LSG
135,karn sharma,21.0,2,3,8,0,0,1,0.0,0,MI
136,rahul tripathi,21.0,5,0,0,6,1,1,0.0,0,CSK
137,rasikh dar,20.0,2,1,14,0,0,1,0.0,0,RCB
138,shaik rasheed,20.0,3,0,0,7,0,1,0.0,0,CSK
139,sam curran,19.5,3,0,12,1,0,2,0.0,0,CSK
140,kumar kartikeya singh,19.0,3,2,12,0,0,0,0.0,0,RR
141,adam zampa,17.0,2,2,10,0,0,0,0.0,0,SRH
142,dewald brevis,16.5,1,0,0,1,4,0,0.0,0,CSK
143,deepak hooda,16.0,4,0,0,2,1,3,0.0,0,CSK
144,jamie overton,16.0,3,0,10,1,1,0,0.0,0,CSK
145,mukesh choudhary,14.5,2,1,11,0,0,0,0.0,0,CSK
146,yash thakur,14.5,2,1,11,0,0,0,0.0,0,PBKS
147,fazalhaq farooqi,14.0,3,0,14,0,0,0,0.0,0,RR
148,anrich nortje,13.5,1,1,10,0,0,0,0.0,0,KKR
149,azmatullah omarzai,11.5,1,0,3,2,1,0,0.0,0,PBKS
150,romario shepherd,11.0,2,1,5,0,0,1,0.0,0,RCB
151,pvsn raju,10.0,2,1,4,0,0,1,0.0,0,MI
152,kulwant khejroliya,10.0,1,1,4,0,0,1,0.0,0,GT
153,nathan ellis,9.5,1,1,6,0,0,0,0.0,0,CSK
154,sameer rizvi,8.5,2,0,0,2,1,0,0.0,0,DC
155,manish pandey,8.5,1,0,0,2,1,0,0.0,0,KKR
156,mujeeb ur rahman,7.5,1,1,4,0,0,0,0.0,0,MI
157,dushmantha chameera,7.5,1,1,4,0,0,0,0.0,0,DC
158,vyshak vijay kumar,7.0,1,0,7,0,0,0,0.0,0,PBKS
159,raj bawa,6.5,1,0,0,0,0,2,1.5,0,MI
160,wiaan mulder,6.0,1,0,1,1,0,1,0.0,0,SRH
161,yudhvir singh,5.0,1,0,5,0,0,0,0.0,0,RR
162,shahbaz ahamad,3.5,1,0,1,1,0,0,0.0,0,LSG
163,rahmanullah gurbaz,2.5,1,0,0,0,0,1,0.0,0,KKR
164,manoj bhandage,2.5,1,0,0,0,0,1,0.0,0,RCB
165,suryansh shedge,2.5,4,0,0,0,0,1,0.0,0,PBKS
166,rahul chahar,2.0,1,0,2,0,0,0,0.0,0,SRH
