POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,219.0,10,0,0,33,34,7,0.0,0,LSG
2,suryakumar yadav,190.5,10,0,0,42,23,2,0.0,0,MI
3,aiden markram,170.5,10,4,14,30,15,6,0.0,0,LSG
4,b. sai sudharsan,170.0,8,0,0,42,15,5,0.0,0,GT
5,josh hazlewood,168.5,10,18,103,0,0,1,0.0,0,RCB
6,yashasvi jaiswal,167.5,9,0,0,32,20,7,0.0,0,RR
7,priyansh arya,164.5,9,0,0,32,22,3,0.0,0,PBKS
8,ryan rickelton,164.5,10,0,0,35,12,8,7.5,3,MI
9,sunil narine,162.5,8,7,56,15,12,1,0.0,0,KKR
10,mitchell marsh,162.5,9,0,0,36,20,1,0.0,0,LSG
11,jos buttler,160.5,8,0,0,40,13,4,0.0,2,GT
12,axar patel,156.0,9,3,54,16,11,4,3.0,0,DC
13,virat kohli,153.5,10,0,0,39,13,3,3.0,0,RCB
14,prasidh krishna,148.5,8,16,85,0,0,3,0.0,0,GT
15,hardik pandya,147.5,9,12,54,9,6,2,3.0,0,MI
16,abhishek sharma,144.5,9,0,16,31,11,5,0.0,0,SRH
17,pat cummins,143.5,9,9,72,5,5,4,0.0,0,SRH
18,mohammed siraj,140.0,8,12,93,0,0,2,0.0,0,GT
19,prabhsimran singh,139.0,9,0,0,34,14,1,0.0,1,PBKS
20,khaleel ahmed,138.0,9,12,93,0,0,0,3.0,0,CSK
21,bhuvneshwar kumar,138.0,9,12,87,1,0,2,1.5,0,RCB
22,krunal pandya,137.0,10,13,55,7,4,2,0.0,0,RCB
23,k l rahul,136.5,8,0,0,28,16,3,3.0,0,DC
24,phil salt,135.5,9,0,0,30,13,6,0.0,0,RCB
25,travis head,131.5,9,0,0,37,9,3,0.0,0,SRH
26,harshit rana,129.0,9,11,73,3,0,4,0.0,0,KKR
27,jofra archer,128.0,9,9,87,0,2,1,0.0,0,RR
28,heinrich klaasen,127.5,9,0,0,28,12,5,3.0,0,SRH
29,kuldeep yadav,127.0,9,12,80,2,0,0,0.0,0,DC
30,mitchell starc,126.5,9,11,73,0,0,6,0.0,0,DC
31,trent boult,126.5,10,13,81,0,0,0,0.0,0,MI
32,varun chakaravarthy,126.0,9,11,85,0,0,1,0.0,0,KKR
33,shubman gill,124.0,8,0,0,33,9,4,0.0,0,GT
34,riyan parag,124.0,9,0,14,16,16,5,1.5,0,RR
35,ravindra jadeja,124.0,9,6,48,10,6,3,1.5,0,CSK
36,shreyas iyer,123.5,9,0,0,18,21,2,0.0,0,PBKS
37,ajinkya rahane,122.5,9,0,0,24,15,4,0.0,0,KKR
38,deepak chahar,119.0,10,8,75,2,2,1,1.5,0,MI
39,marco jansen,119.0,9,8,62,2,4,4,0.0,0,PBKS
40,digvesh singh,116.5,10,10,79,0,0,1,0.0,0,LSG
41,ravi bishnoi,115.5,10,9,67,0,2,4,0.0,0,LSG
42,noor ahmad,113.0,9,14,64,0,0,0,0.0,0,CSK
43,shardul thakur,112.5,9,12,58,2,0,3,0.0,0,LSG
44,vaibhav arora,111.5,8,11,64,0,0,3,1.5,0,KKR
45,arshdeep singh,111.5,9,11,70,0,0,0,3.0,0,PBKS
46,vipraj nigam,110.5,9,7,50,6,4,1,4.5,0,DC
47,tim david,108.0,10,0,0,16,14,7,1.5,0,RCB
48,will jacks,107.5,9,5,25,12,6,5,1.5,0,MI
49,dhruv jurel,105.5,9,0,0,17,14,5,1.5,0,RR
50,rohit sharma,104.5,9,0,0,18,17,0,0.0,0,MI
51,n tilak varma,102.5,10,0,0,20,10,7,0.0,0,MI
52,harshal patel,101.5,8,13,51,0,0,2,0.0,0,SRH
53,avesh khan,101.0,9,10,61,0,0,2,0.0,0,LSG
54,sanju samson,100.0,7,0,0,23,10,2,0.0,1,RR
55,tristan stubbs,99.5,9,0,3,19,9,7,0.0,0,DC
56,yash dayal,99.0,10,9,65,0,0,1,0.0,0,RCB
57,mitchell santner,98.0,9,4,53,2,3,5,3.0,0,MI
58,devdutt padikkal,98.0,9,0,0,20,13,1,0.0,0,RCB
59,abishek porel,98.0,9,0,0,25,9,1,1.5,0,DC
60,naman dhir,97.5,10,0,7,14,8,11,0.0,0,MI
61,sai kishore,97.0,8,12,45,0,0,4,0.0,0,GT
62,mukesh kumar,96.5,9,9,60,0,0,2,0.0,0,DC
63,nitish rana,96.5,9,0,0,24,9,2,0.0,0,RR
64,suyash sharma,94.5,9,4,78,0,0,1,0.0,0,RCB
65,ayush badoni,94.0,10,0,0,22,9,3,0.0,0,LSG
66,shivam dube,93.0,9,0,0,17,13,2,0.0,0,CSK
67,jitesh sharma,92.5,10,0,0,12,7,13,3.0,1,RCB
68,rashid khan,92.0,8,6,54,1,2,3,0.0,0,GT
69,rajat patidar,90.0,10,0,0,20,10,2,0.0,0,RCB
70,aniket verma,88.5,9,0,0,9,16,4,0.0,0,SRH
71,shimron hetmyer,88.0,9,0,0,14,9,8,1.5,0,RR
72,jasprit bumrah,88.0,6,9,54,0,0,1,0.0,0,MI
73,mohammed shami,86.5,8,6,58,1,0,2,0.0,0,SRH
74,wanindu hasaranga,83.5,7,10,42,0,0,2,1.5,0,RR
75,sherfane rutherford,83.0,8,0,0,15,13,0,0.0,0,GT
76,nehal wadhera,83.0,8,0,1,14,12,2,0.0,0,PBKS
77,matheesha pathirana,80.5,7,7,51,0,0,2,0.0,0,CSK
78,ishan kishan,79.5,9,0,0,19,7,3,0.0,0,SRH
79,yuzvendra chahal,79.5,9,9,43,0,0,2,0.0,0,PBKS
80,maheesh theekshana,79.0,8,7,53,0,0,0,1.5,0,RR
81,sandeep sharma,79.0,9,8,47,0,0,1,1.5,0,RR
82,karun nair,79.0,5,0,0,17,8,1,6.0,0,DC
83,ms dhoni,77.5,9,0,0,11,8,3,4.5,4,CSK
84,angkrish raghuvanshi,76.0,8,0,0,21,6,1,0.0,0,KKR
85,andre russell,75.5,9,7,17,6,4,2,0.0,0,KKR
86,glenn maxwell,70.5,7,4,28,5,1,5,0.0,0,PBKS
87,ravichandran ashwin,70.0,7,5,40,1,0,4,0.0,0,CSK
88,quinton de kock,68.5,7,0,0,9,11,3,0.0,0,KKR
89,zeeshan ansari,65.5,7,5,38,0,0,4,0.0,0,SRH
90,rachin ravindra,64.0,8,0,0,18,4,2,0.0,0,CSK
91,tushar deshpande,63.5,8,6,40,0,0,1,0.0,0,RR
92,rinku singh,63.5,9,0,0,14,6,3,0.0,0,KKR
93,ashutosh sharma,60.5,8,0,0,11,8,2,0.0,0,DC
94,venkatesh iyer,60.5,9,0,0,14,4,4,1.5,0,KKR
95,liam livingstone,59.0,7,2,10,4,7,3,0.0,0,RCB
96,ruturaj gaikwad,56.5,5,0,0,14,4,3,0.0,0,CSK
97,abdul samad,56.0,9,0,1,6,10,2,0.0,0,LSG
98,rishabh pant,54.0,10,0,0,9,5,4,1.5,1,LSG
99,shashank singh,54.0,9,0,3,10,6,2,0.0,0,PBKS
100,david miller,53.0,10,0,0,13,3,4,0.0,0,LSG
101,prince yadav,52.5,5,2,36,0,0,2,4.5,0,LSG
102,vignesh puthur,50.0,5,6,24,0,0,2,0.0,0,MI
103,lockie ferguson,48.0,4,5,28,1,0,0,0.0,0,PBKS
104,marcus stoinis,47.5,7,0,18,2,7,0,0.0,0,PBKS
105,nitish kumar reddy,47.0,9,0,0,14,2,2,0.0,0,SRH
106,mohd arshad khan,45.5,5,3,25,0,0,4,0.0,0,GT
107,faf du plessis,45.0,4,0,0,8,5,3,0.0,0,DC
108,washington sundar,43.5,3,2,12,5,2,2,0.0,0,GT
109,xavier bartlett,42.0,3,2,25,1,0,3,0.0,0,PBKS
110,ashwani kumar,39.5,3,6,16,0,0,1,0.0,0,MI
111,ishant sharma,39.5,5,3,24,0,0,2,0.0,0,GT
112,moeen ali,37.5,4,3,22,0,0,2,0.0,0,KKR
113,ayush mhatre,37.0,2,0,0,10,2,2,0.0,0,CSK
114,eshan malinga,36.5,3,5,19,0,0,0,0.0,0,SRH
115,kamindu mendis,36.5,3,2,10,4,2,1,0.0,0,SRH
116,shahrukh khan,36.0,8,0,0,4,6,2,0.0,0,GT
117,anshul kamboj,35.5,3,3,25,0,0,0,0.0,0,CSK
118,vijay shankar,35.5,6,0,0,8,3,2,0.0,0,CSK
119,mohit sharma,35.0,6,2,28,0,0,0,0.0,0,DC
120,akash deep,32.5,4,3,22,0,0,0,0.0,0,LSG
121,devon conway,32.0,3,0,0,9,2,1,0.0,0,CSK
122,spencer johnson,32.0,4,1,26,0,0,1,0.0,0,KKR
123,jake fraser-mcgurk,32.0,6,0,0,7,2,3,0.0,0,DC
124,rahul tewatia,31.5,8,0,0,3,4,4,0.0,0,GT
125,corbin bosch,31.0,1,1,14,2,1,2,0.0,0,MI
126,simarjeet singh,29.0,4,2,22,0,0,0,0.0,0,SRH
127,jaydev unadkat,29.0,3,3,16,0,0,1,0.0,0,SRH
128,josh inglis,28.5,4,0,0,6,1,3,0.0,1,PBKS
129,shubham dubey,27.5,6,0,0,3,5,1,0.0,0,RR
130,karn sharma,25.5,3,3,10,0,0,2,0.0,0,MI
131,harpreet brar,24.5,3,3,14,0,0,0,0.0,0,PBKS
132,kagiso rabada,24.5,2,2,14,0,1,0,0.0,0,GT
133,abhinav manohar,23.0,5,0,0,2,3,3,0.0,0,SRH
134,vaibhav suryavanshi,22.5,2,0,0,2,5,0,0.0,0,RR
135,ramandeep singh,22.0,8,0,0,1,2,5,0.0,0,KKR
136,m siddharth,21.5,2,2,12,0,0,1,0.0,0,LSG
137,rahul tripathi,21.0,5,0,0,6,1,1,0.0,0,CSK
138,rasikh dar,20.0,2,1,14,0,0,1,0.0,0,RCB
139,shaik rasheed,20.0,3,0,0,7,0,1,0.0,0,CSK
140,sam curran,19.5,3,0,12,1,0,2,0.0,0,CSK
141,mayank yadav,19.0,1,2,12,0,0,0,0.0,0,LSG
142,kumar kartikeya singh,19.0,3,2,12,0,0,0,0.0,0,RR
143,adam zampa,17.0,2,2,10,0,0,0,0.0,0,SRH
144,dewald brevis,16.5,1,0,0,1,4,0,0.0,0,CSK
145,deepak hooda,16.0,4,0,0,2,1,3,0.0,0,CSK
146,jamie overton,16.0,3,0,10,1,1,0,0.0,0,CSK
147,mukesh choudhary,14.5,2,1,11,0,0,0,0.0,0,CSK
148,yash thakur,14.5,2,1,11,0,0,0,0.0,0,PBKS
149,dushmantha chameera,14.0,2,2,7,0,0,0,0.0,0,DC
150,fazalhaq farooqi,14.0,3,0,14,0,0,0,0.0,0,RR
151,anrich nortje,13.5,1,1,10,0,0,0,0.0,0,KKR
152,azmatullah omarzai,11.5,2,0,3,2,1,0,0.0,0,PBKS
153,romario shepherd,11.0,3,1,5,0,0,1,0.0,0,RCB
154,pvsn raju,10.0,2,1,4,0,0,1,0.0,0,MI
155,kulwant khejroliya,10.0,1,1,4,0,0,1,0.0,0,GT
156,nathan ellis,9.5,1,1,6,0,0,0,0.0,0,CSK
157,jacob bethell,8.5,1,0,0,1,1,1,0.0,0,RCB
158,sameer rizvi,8.5,2,0,0,2,1,0,0.0,0,DC
159,manish pandey,8.5,1,0,0,2,1,0,0.0,0,KKR
160,mujeeb ur rahman,7.5,1,1,4,0,0,0,0.0,0,MI
161,vyshak vijay kumar,7.0,1,0,7,0,0,0,0.0,0,PBKS
162,raj bawa,6.5,1,0,0,0,0,2,1.5,0,MI
163,wiaan mulder,6.0,1,0,1,1,0,1,0.0,0,SRH
164,yudhvir singh,5.0,1,0,5,0,0,0,0.0,0,RR
165,shahbaz ahamad,3.5,1,0,1,1,0,0,0.0,0,LSG
166,chetan sakariya,3.0,1,0,3,0,0,0,0.0,0,KKR
167,rahmanullah gurbaz,2.5,2,0,0,0,0,1,0.0,0,KKR
168,manoj bhandage,2.5,1,0,0,0,0,1,0.0,0,RCB
169,suryansh shedge,2.5,4,0,0,0,0,1,0.0,0,PBKS
170,rovman powell,2.5,1,0,0,0,0,1,0.0,0,KKR
171,rahul chahar,2.0,1,0,2,0,0,0,0.0,0,SRH
