POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,sunil narine,31.5,1,1,5,5,3,0,0.0,0,KKR
2,phil salt,29.5,1,0,0,9,2,0,0.0,0,RCB
3,ajinkya rahane,29.0,1,0,0,6,4,0,0.0,0,KKR
4,josh hazlewood,23.0,1,2,16,0,0,0,0.0,0,RCB
5,virat kohli,20.5,1,0,0,4,3,0,0.0,0,RCB
6,krunal pandya,18.5,1,3,8,0,0,0,0.0,0,RCB
7,rajat patidar,16.0,1,0,0,5,1,0,0.0,0,RCB
8,rasikh dar,15.0,1,1,9,0,0,1,0.0,0,RCB
9,varun chakaravarthy,10.5,1,1,7,0,0,0,0.0,0,KKR
10,liam livingstone,10.5,1,0,2,2,1,0,0.0,0,RCB
11,yash dayal,10.5,1,1,7,0,0,0,0.0,0,RCB
12,jitesh sharma,10.0,1,0,0,0,0,4,0.0,0,RCB
13,spencer johnson,9.5,1,0,7,0,0,1,0.0,0,KKR
14,vaibhav arora,7.5,1,1,4,0,0,0,0.0,0,KKR
15,harshit rana,6.5,1,0,4,1,0,0,0.0,0,KKR
16,rinku singh,5.0,1,0,0,1,0,1,0.0,0,KKR
17,devdutt padikkal,2.5,1,0,0,1,0,0,0.0,0,RCB
18,venkatesh iyer,2.5,1,0,0,1,0,0,0.0,0,KKR
19,ramandeep singh,2.5,1,0,0,0,0,1,0.0,0,KKR
20,andre russell,2.5,1,0,0,1,0,0,0.0,0,KKR
21,quinton de kock,2.5,1,0,0,1,0,0,0.0,0,KKR
