POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,sunil narine,237.5,11,10,81,22,16,3,3.0,0,KKR
2,surya kumar yadav,228.5,12,0,0,51,26,4,0.0,0,MI
3,nicholas pooran,224.0,11,0,0,34,34,8,0.0,0,LSG
4,yashasvi jaiswal,222.5,12,0,0,46,25,8,0.0,0,RR
5,jos buttler,221.0,11,0,0,49,22,6,1.5,2,GT
6,b. sai sudharsan,213.5,11,0,0,56,16,7,0.0,0,GT
7,riyan parag,206.5,12,2,22,27,26,7,1.5,0,RR
8,ravindra jadeja,202.5,12,8,69,24,9,5,1.5,0,CSK
9,prabhsimran singh,201.5,11,0,0,45,24,1,0.0,1,PBKS
10,shubman gill,201.0,11,0,0,51,16,7,0.0,0,GT
11,ryan rickelton,197.5,12,0,0,42,15,10,7.5,3,MI
12,prasidh krishna,194.5,11,20,112,0,0,5,0.0,0,GT
13,axar patel,192.0,11,5,60,21,14,4,3.0,0,DC
14,pat cummins,186.0,11,13,92,6,6,5,0.0,0,SRH
15,virat kohli,183.5,11,0,0,44,18,3,3.0,0,RCB
16,abhishek sharma,180.0,11,0,18,35,17,6,0.0,0,SRH
17,priyansh arya,179.5,11,0,0,37,22,4,0.0,0,PBKS
18,varun chakaravarthy,179.5,12,17,115,0,0,2,0.0,0,KKR
19,aiden markram,176.5,11,4,14,31,16,6,0.0,0,LSG
20,harshit rana,175.0,12,15,100,3,0,6,0.0,0,KKR
21,hardik pandya,174.5,11,13,59,15,7,2,3.0,0,MI
22,mohammed siraj,174.0,11,15,114,0,0,3,0.0,0,GT
23,khaleel ahmed,173.5,12,14,119,0,0,1,3.0,0,CSK
24,jofra archer,172.5,12,11,110,3,4,1,0.0,0,RR
25,shreyas iyer,169.5,11,0,0,27,27,3,0.0,0,PBKS
26,josh hazlewood,168.5,10,18,103,0,0,1,0.0,0,RCB
27,noor ahmad,166.0,12,20,91,0,0,2,0.0,0,CSK
28,ajinkya rahane,165.0,12,0,0,33,20,5,0.0,0,KKR
29,marco jansen,164.0,11,11,89,3,4,6,0.0,0,PBKS
30,trent boult,162.5,12,18,97,0,0,1,0.0,0,MI
31,mitchell marsh,162.5,10,0,0,36,20,1,0.0,0,LSG
32,arshdeep singh,157.5,11,16,96,0,0,1,3.0,0,PBKS
33,andre russell,154.0,12,8,27,16,14,4,0.0,0,KKR
34,vaibhav arora,153.0,11,16,84,0,0,4,3.0,0,KKR
35,vipraj nigam,152.5,11,9,57,12,7,2,4.5,0,DC
36,mitchell starc,151.5,11,14,85,0,0,7,0.0,0,DC
37,krunal pandya,148.0,11,14,60,7,4,3,0.0,0,RCB
38,deepak chahar,146.0,12,10,90,3,2,2,1.5,0,MI
39,bhuvneshwar kumar,143.0,10,12,92,1,0,2,1.5,0,RCB
40,k l rahul,141.5,10,0,0,30,16,3,3.0,0,DC
41,travis head,141.5,11,0,0,41,9,3,0.0,0,SRH
42,heinrich klaasen,137.5,11,0,0,29,13,6,4.5,0,SRH
43,will jacks,136.0,11,5,28,17,9,6,1.5,0,MI
44,phil salt,135.5,9,0,0,30,13,6,0.0,0,RCB
45,jasprit bumrah,134.5,8,13,84,0,0,2,0.0,0,MI
46,kuldeep yadav,134.0,11,12,87,2,0,0,0.0,0,DC
47,rohit sharma,132.0,11,0,0,28,17,1,0.0,0,MI
48,digvesh singh,129.5,11,12,85,0,0,1,0.0,0,LSG
49,ayush badoni,124.0,11,0,0,27,14,3,0.0,0,LSG
50,rashid khan,123.0,11,8,74,1,2,4,1.5,0,GT
51,matheesha pathirana,117.0,10,12,70,0,0,2,0.0,0,CSK
52,harshal patel,116.5,10,14,61,0,0,2,1.5,0,SRH
53,ravi bishnoi,115.5,10,9,67,0,2,4,0.0,0,LSG
54,avesh khan,115.0,10,10,64,3,1,2,0.0,0,LSG
55,shivam dube,114.5,12,0,0,20,17,2,0.0,0,CSK
56,sai kishore,114.0,11,14,55,0,0,4,0.0,0,GT
57,shardul thakur,112.5,9,12,58,2,0,3,0.0,0,LSG
58,maheesh theekshana,112.0,11,11,72,0,0,0,1.5,0,RR
59,dhruv jurel,111.5,12,0,0,17,15,6,1.5,0,RR
60,tristan stubbs,109.5,11,0,3,23,9,7,0.0,0,DC
61,yuzvendra chahal,109.0,11,14,55,0,0,2,0.0,0,PBKS
