Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,6,4,2,0,0,8,1.081,WWWWL,"vs DC, KKR, RR",1148/114.3,1069/119.3
Delhi Capitals,5,4,1,0,0,8,0.899,WWWWL,"vs RR, GT, LSG",922/93.2,898/100.0
Royal Challengers Bengaluru,6,4,2,0,0,8,0.672,WLWLW,"vs PBKS, PBKS, RR",1101/113.5,1041/115.4
Lucknow Super Giants,6,4,2,0,0,8,0.162,WLWWW,"vs CSK, RR, DC",1200/115.4,1183/115.5
Kolkata Knight Riders,6,3,3,0,0,6,0.803,WLWLW,"vs PBKS, GT, PBKS",984/107.4,910/109.1
Punjab Kings,5,3,2,0,0,6,0.065,WWLWL,"vs KKR, RCB, RCB",1039/96.2,1056/98.3
Mumbai Indians,6,2,4,0,0,4,0.104,LWLLW,"vs SRH, CSK, SRH",1041/112.5,1087/119.1
Rajasthan Royals,6,2,4,0,0,4,-0.838,LWWLL,"vs DC, LSG, RCB",1112/120.0,1162/115.0
Sunrisers Hyderabad,6,2,4,0,0,4,-1.245,LLLLW,"vs MI, MI, CSK",1158/118.3,1199/108.5
Chennai Super Kings,6,1,5,0,0,2,-1.554,LLLLL,"vs LSG, MI, SRH",942/119.1,1042/110.1
