Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,2,2,0,0,0,4,2.266,WW,"vs GT, MI, DC",373/36.2,320/40.0
Delhi Capitals,2,2,0,0,0,4,1.320,WW,"vs CSK, RCB, MI",377/35.3,372/40.0
Lucknow Super Giants,2,1,1,0,0,2,0.963,LW,"vs PBKS, MI, KKR",402/36.1,401/39.3
Gujarat Titans,2,1,1,0,0,2,0.625,LW,"vs RCB, SRH, RR",428/40.0,403/40.0
Punjab Kings,1,1,0,0,0,2,0.550,W,"vs LSG, RR, CSK",243/20.0,232/20.0
Kolkata Knight Riders,2,1,1,0,0,2,-0.308,LW,"vs MI, SRH, LSG",327/37.3,328/36.2
Chennai Super Kings,3,1,2,0,0,2,-0.771,WLL,"vs DC, PBKS, KKR",480/59.1,533/60.0
Sunrisers Hyderabad,3,1,2,0,0,2,-0.871,WLL,"vs KKR, GT, PBKS",639/60.0,601/52.1
Rajasthan Royals,3,1,2,0,0,2,-1.112,LLW,"vs PBKS, GT, RCB",575/60.0,615/57.3
Mumbai Indians,2,0,2,0,0,0,-1.163,LL,"vs KKR, LSG, RCB",315/40.0,354/39.1
