POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,108.5,4,0,0,18,16,3,0.0,0,LSG
2,hardik pandya,107.5,4,10,32,6,5,2,3.0,0,MI
3,mitchell marsh,90.0,4,0,0,22,10,0,0.0,0,LSG
4,mohammed siraj,87.0,4,9,53,0,0,1,0.0,0,GT
5,pat cummins,82.0,5,4,34,5,4,3,0.0,0,SRH
6,josh hazlewood,81.0,4,8,53,0,0,0,0.0,0,RCB
7,khaleel ahmed,80.0,4,8,49,0,0,0,3.0,0,CSK
8,b. sai sudharsan,79.0,4,0,0,16,9,3,0.0,0,GT
9,suryakumar yadav,78.0,5,0,0,20,8,0,0.0,0,MI
10,travis head,73.5,5,0,0,21,6,0,0.0,0,SRH
11,shreyas iyer,73.0,3,0,0,10,13,1,0.0,0,PBKS
12,heinrich klaasen,70.0,5,0,0,13,7,4,3.0,0,SRH
13,aniket verma,69.5,5,0,0,8,12,3,0.0,0,SRH
14,ryan rickelton,69.5,5,0,0,14,5,5,4.5,0,MI
15,jos buttler,69.0,4,0,0,14,9,1,0.0,0,GT
16,rajat patidar,68.0,4,0,0,16,8,0,0.0,0,RCB
17,mitchell starc,67.0,3,9,33,0,0,1,0.0,0,DC
18,sai kishore,66.5,4,8,36,0,0,1,0.0,0,GT
19,noor ahmad,65.0,4,10,30,0,0,0,0.0,0,CSK
20,ajinkya rahane,65.0,4,0,0,9,10,3,0.0,0,KKR
21,phil salt,64.0,4,0,0,16,4,4,0.0,0,RCB
22,mohammed shami,63.5,5,5,41,1,0,1,0.0,0,SRH
23,prasidh krishna,62.0,4,5,42,0,0,1,0.0,0,GT
24,varun chakaravarthy,61.0,4,6,40,0,0,0,0.0,0,KKR
25,naman dhir,61.0,5,0,7,9,4,7,0.0,0,MI
26,virat kohli,61.0,4,0,0,15,6,1,0.0,0,RCB
27,shubman gill,60.0,4,0,0,16,5,1,0.0,0,GT
28,digvesh singh,59.5,4,6,36,0,0,1,0.0,0,LSG
29,n tilak varma,59.5,5,0,0,11,7,3,0.0,0,MI
30,riyan parag,59.0,4,0,7,6,8,3,1.5,0,RR
31,sherfane rutherford,59.0,4,0,0,11,9,0,0.0,0,GT
32,jofra archer,58.5,4,4,35,0,2,1,0.0,0,RR
33,sanju samson,57.5,4,0,0,16,5,0,0.0,0,RR
34,trent boult,57.5,5,5,40,0,0,0,0.0,0,MI
35,mitchell santner,57.0,5,1,33,2,3,2,0.0,0,MI
36,dhruv jurel,57.0,4,0,0,11,7,2,0.0,0,RR
37,ruturaj gaikwad,56.5,4,0,0,14,4,3,0.0,0,CSK
38,ishan kishan,56.0,5,0,0,13,6,1,0.0,0,SRH
39,jitesh sharma,56.0,4,0,0,8,6,6,0.0,0,RCB
