Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Delhi Capitals,6,5,1,0,0,10,0.744,WWWLW,"vs GT, LSG, RCB",1110/113.2,1086/120.0
Gujarat Titans,6,4,2,0,0,8,1.081,WWWWL,"vs DC, KKR, RR",1148/114.3,1069/119.3
Royal Challengers Bengaluru,6,4,2,0,0,8,0.672,WLWLW,"vs PBKS, PBKS, RR",1101/113.5,1041/115.4
Punjab Kings,6,4,2,0,0,8,0.172,WLWLW,"vs RCB, RCB, KKR",1150/116.2,1151/118.3
Lucknow Super Giants,7,4,3,0,0,8,0.086,LWWWL,"vs RR, DC, MI",1366/135.4,1351/135.2
Kolkata Knight Riders,7,3,4,0,0,6,0.547,LWLWL,"vs GT, PBKS, DC",1079/127.4,1021/129.1
Mumbai Indians,6,2,4,0,0,4,0.104,LWLLW,"vs SRH, CSK, SRH",1041/112.5,1087/119.1
Rajasthan Royals,7,2,5,0,0,4,-0.714,WWLLL,"vs LSG, RCB, GT",1300/140.0,1350/135.0
Sunrisers Hyderabad,6,2,4,0,0,4,-1.245,LLLLW,"vs MI, MI, CSK",1158/118.3,1199/108.5
Chennai Super Kings,7,2,5,0,0,4,-1.276,LLLLW,"vs MI, SRH, PBKS",1110/138.4,1208/130.1
