Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,10,7,3,0,0,14,0.521,WLWWW,"vs CSK, LSG, SRH",1725/185.1,1652/187.5
Mumbai Indians,10,6,4,0,0,12,0.889,WWWWW,"vs RR, GT, PBKS",1745/182.2,1729/199.1
Gujarat Titans,9,6,3,0,0,12,0.748,WLWWL,"vs SRH, MI, DC",1759/173.5,1643/175.2
Delhi Capitals,10,6,4,0,0,12,0.362,WLWLL,"vs SRH, PBKS, GT",1826/191.1,1818/197.5
Punjab Kings,9,5,3,0,1,11,0.177,LWWLNR,"vs CSK, LSG, DC",1405/148.3,1405/151.2
Lucknow Super Giants,10,5,5,0,0,10,-0.325,WLWLL,"vs PBKS, RCB, GT",1866/195.4,1905/193.1
Kolkata Knight Riders,10,4,5,0,1,9,0.271,WLLNRW,"vs RR, CSK, SRH",1442/167.4,1409/169.1
Rajasthan Royals,10,3,7,0,0,6,-0.349,LLLLW,"vs MI, KKR, CSK",1884/195.5,1944/195.0
Sunrisers Hyderabad,9,3,6,0,0,6,-1.103,LWLLW,"vs GT, DC, KKR",1618/177.1,1665/162.4
Chennai Super Kings,9,2,7,0,0,4,-1.302,LLWLL,"vs PBKS, RCB, KKR",1440/178.4,1540/164.3
