POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,nicholas pooran,102.5,3,0,0,17,15,3,0.0,0,LSG
2,b. sai sudharsan,74.0,3,0,0,16,9,1,0.0,0,GT
3,jos buttler,69.0,3,0,0,14,9,1,0.0,0,GT
4,travis head,68.5,4,0,0,19,6,0,0.0,0,SRH
5,shreyas iyer,65.5,2,0,0,8,13,0,0.0,0,PBKS
6,ajinkya rahane,65.0,4,0,0,9,10,3,0.0,0,KKR
7,khaleel ahmed,64.0,3,6,40,0,0,0,3.0,0,CSK
8,josh hazlewood,62.0,3,6,41,0,0,0,0.0,0,RCB
9,varun chakaravarthy,61.0,4,6,40,0,0,0,0.0,0,KKR
10,mitchell marsh,60.5,3,0,0,13,8,0,0.0,0,LSG
11,noor ahmad,59.5,3,9,28,0,0,0,0.0,0,CSK
12,aniket verma,59.5,4,0,0,6,12,1,0.0,0,SRH
13,pat cummins,59.5,4,3,26,2,3,3,0.0,0,SRH
14,heinrich klaasen,59.0,4,0,0,11,6,3,3.0,0,SRH
15,phil salt,59.0,3,0,0,15,4,3,0.0,0,RCB
16,mohammed siraj,56.0,3,5,36,0,0,1,0.0,0,GT
17,sunil narine,55.0,3,2,19,5,4,1,0.0,0,KKR
18,ruturaj gaikwad,54.0,3,0,0,13,4,3,0.0,0,CSK
19,sai kishore,52.5,3,6,29,0,0,1,0.0,0,GT
20,harshit rana,52.0,4,3,29,1,0,4,0.0,0,KKR
21,mitchell starc,51.5,2,8,21,0,0,1,0.0,0,DC
22,ishan kishan,51.0,4,0,0,11,6,1,0.0,0,SRH
23,liam livingstone,50.5,3,2,9,3,7,1,0.0,0,RCB
24,ryan rickelton,49.5,3,0,0,8,5,3,4.5,0,MI
25,dhruv jurel,48.5,3,0,0,10,6,1,0.0,0,RR
26,digvesh singh,48.0,3,5,28,0,0,1,0.0,0,LSG
27,kuldeep yadav,48.0,2,5,28,1,0,0,0.0,0,DC
28,nitish rana,47.5,3,0,0,12,5,0,0.0,0,RR
29,deepak chahar,47.5,3,4,20,2,2,0,1.5,0,MI
30,angkrish raghuvanshi,46.5,4,0,0,12,4,1,0.0,0,KKR
31,prasidh krishna,46.0,3,3,33,0,0,1,0.0,0,GT
32,vaibhav arora,46.0,3,6,25,0,0,0,0.0,0,KKR
33,quinton de kock,46.0,4,0,0,9,6,1,0.0,0,KKR
34,shardul thakur,45.5,3,6,22,0,0,1,0.0,0,LSG
35,ravindra jadeja,44.0,3,1,16,5,2,2,0.0,0,CSK
36,mohammed shami,44.0,4,3,31,0,0,1,0.0,0,SRH
37,sanju samson,42.5,3,0,0,10,5,0,0.0,0,RR
38,rajat patidar,41.5,3,0,0,11,4,0,0.0,0,RCB
39,riyan parag,41.0,3,0,7,3,5,3,1.5,0,RR
40,harshal patel,41.0,4,4,22,0,0,2,0.0,0,SRH
41,sherfane rutherford,40.5,3,0,0,5,8,0,0.0,0,GT
42,mitchell santner,40.0,3,1,22,2,2,1,0.0,0,MI
43,faf du plessis,40.0,2,0,0,6,5,3,0.0,0,DC
44,arshdeep singh,39.5,2,5,19,0,0,0,3.0,0,PBKS
45,suryakumar yadav,39.5,3,0,0,6,7,0,0.0,0,MI
46,prabhsimran singh,38.0,2,0,0,10,3,1,0.0,0,PBKS
47,shubman gill,37.5,3,0,0,7,5,1,0.0,0,GT
48,matheesha pathirana,37.5,2,4,21,0,0,1,0.0,0,CSK
49,jitesh sharma,37.0,3,0,0,6,2,6,0.0,0,RCB
50,rachin ravindra,36.5,3,0,0,7,4,2,0.0,0,CSK
51,venkatesh iyer,35.5,4,0,0,8,3,2,0.0,0,KKR
52,ravi bishnoi,35.0,3,3,22,0,0,1,0.0,0,LSG
53,hardik pandya,35.0,2,3,14,1,0,2,3.0,0,MI
54,jofra archer,34.0,3,1,21,0,2,1,0.0,0,RR
55,vipraj nigam,33.5,2,1,5,5,2,1,3.0,0,DC
56,ravichandran ashwin,33.0,3,3,15,1,0,2,0.0,0,CSK
57,shimron hetmyer,32.5,3,0,0,3,5,3,0.0,0,RR
58,priyansh arya,32.0,2,0,0,8,2,2,0.0,0,PBKS
59,axar patel,31.5,2,0,14,3,1,2,1.5,0,DC
60,wanindu hasaranga,31.5,2,5,14,0,0,0,0.0,0,RR
61,maheesh theekshana,31.5,3,2,23,0,0,0,1.5,0,RR
62,virat kohli,31.5,3,0,0,7,4,0,0.0,0,RCB
63,tushar deshpande,31.0,3,3,18,0,0,1,0.0,0,RR
64,andre russell,31.0,4,4,7,2,0,2,0.0,0,KKR
65,trent boult,31.0,3,2,24,0,0,0,0.0,0,MI
66,krunal pandya,30.5,3,3,15,1,0,1,0.0,0,RCB
67,yash dayal,30.5,3,3,20,0,0,0,0.0,0,RCB
68,n tilak varma,30.5,3,0,0,5,3,3,0.0,0,MI
69,ashutosh sharma,30.0,1,0,0,5,5,0,0.0,0,DC
70,abhishek sharma,30.0,4,0,15,6,0,0,0.0,0,SRH
71,zeeshan ansari,30.0,2,4,11,0,0,2,0.0,0,SRH
72,nitish kumar reddy,29.5,4,0,0,8,2,1,0.0,0,SRH
73,tristan stubbs,29.0,2,0,1,4,3,3,0.0,0,DC
74,spencer johnson,29.0,3,1,23,0,0,1,0.0,0,KKR
75,bhuvneshwar kumar,28.0,2,2,21,0,0,0,0.0,0,RCB
76,ms dhoni,28.0,3,0,0,4,3,0,0.0,3,CSK
77,abdul samad,27.5,2,0,1,4,4,1,0.0,0,LSG
78,tim david,27.5,3,0,0,4,5,0,0.0,0,RCB
79,simarjeet singh,27.0,3,2,20,0,0,0,0.0,0,SRH
80,naman dhir,27.0,3,0,7,4,0,4,0.0,0,MI
81,vignesh puthur,27.0,2,4,13,0,0,0,0.0,0,MI
82,david miller,27.0,3,0,0,6,2,2,0.0,0,LSG
83,ashwani kumar,26.5,1,4,10,0,0,1,0.0,0,MI
84,shivam dube,26.5,3,0,0,3,4,2,0.0,0,CSK
85,rashid khan,25.0,3,1,18,0,1,0,0.0,0,GT
86,marco jansen,24.5,2,2,15,0,0,1,0.0,0,PBKS
87,rinku singh,24.5,4,0,0,6,2,1,0.0,0,KKR
88,kagiso rabada,24.5,2,2,14,0,1,0,0.0,0,GT
89,shashank singh,24.5,2,0,0,6,2,1,0.0,0,PBKS
90,glenn maxwell,23.0,2,2,11,0,0,2,0.0,0,PBKS
91,yashasvi jaiswal,22.0,3,0,0,3,2,3,0.0,0,RR
92,jake fraser-mcgurk,22.0,2,0,0,4,2,2,0.0,0,DC
93,m siddharth,21.5,2,2,12,0,0,1,0.0,0,LSG
94,suyash sharma,21.5,2,1,18,0,0,0,0.0,0,RCB
95,will jacks,21.5,2,1,7,2,1,1,0.0,0,MI
96,nehal wadhera,21.5,1,0,0,3,4,0,0.0,0,PBKS
97,ayush badoni,20.5,3,0,0,2,3,2,0.0,0,LSG
98,prince yadav,20.0,2,1,12,0,0,0,4.5,0,LSG
99,rasikh dar,20.0,2,1,14,0,0,1,0.0,0,RCB
100,aiden markram,19.5,3,0,0,5,2,0,0.0,0,LSG
101,shubham dubey,19.0,2,0,0,2,4,0,0.0,0,RR
102,mohd arshad khan,18.0,2,1,7,0,0,3,0.0,0,GT
103,sandeep sharma,18.0,3,2,11,0,0,0,0.0,0,RR
104,yuzvendra chahal,18.0,2,1,12,0,0,1,0.0,0,PBKS
105,marcus stoinis,17.5,2,0,8,1,2,0,0.0,0,PBKS
106,devdutt padikkal,17.0,3,0,0,4,2,0,0.0,0,RCB
107,adam zampa,17.0,2,2,10,0,0,0,0.0,0,SRH
108,kamindu mendis,15.0,1,1,2,1,2,0,0.0,0,SRH
109,ishant sharma,15.0,2,1,9,0,0,1,0.0,0,GT
