Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,10,7,3,0,0,14,0.521,WLWWW,"vs CSK, LSG, SRH",1725/185.1,1652/187.5
Gujarat Titans,8,6,2,0,0,12,1.104,WWLWW,"vs RR, SRH, MI",1550/153.5,1431/159.3
Mumbai Indians,10,6,4,0,0,12,0.889,WWWWW,"vs RR, GT, PBKS",1745/182.2,1729/199.1
Delhi Capitals,9,6,3,0,0,12,0.482,LWLWL,"vs KKR, SRH, PBKS",1636/171.1,1614/177.5
Punjab Kings,9,5,3,0,1,11,0.177,LWWLNR,"vs CSK, LSG, DC",1405/148.3,1405/151.2
Lucknow Super Giants,10,5,5,0,0,10,-0.325,WLWLL,"vs PBKS, RCB, GT",1866/195.4,1905/193.1
Kolkata Knight Riders,9,3,5,0,1,7,0.212,LWLLNR,"vs DC, RR, CSK",1238/147.4,1219/149.1
Sunrisers Hyderabad,9,3,6,0,0,6,-1.103,LWLLW,"vs GT, DC, KKR",1618/177.1,1665/162.4
Rajasthan Royals,9,2,7,0,0,4,-0.625,LLLLL,"vs GT, MI, KKR",1672/180.0,1735/175.0
Chennai Super Kings,9,2,7,0,0,4,-1.302,LLWLL,"vs PBKS, RCB, KKR",1440/178.4,1540/164.3
