Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,11,8,3,0,0,16,0.482,LWWWW,"vs LSG, SRH, KKR",1938/205.1,1863/207.5
Mumbai Indians,11,7,4,0,0,14,1.274,WWWWW,"vs GT, PBKS, DC",1962/202.2,1846/219.1
Gujarat Titans,10,7,3,0,0,14,0.867,LWWLW,"vs MI, DC, LSG",1983/193.5,1829/195.2
Punjab Kings,10,6,3,0,1,13,0.199,WWLNRW,"vs LSG, DC, MI",1599/168.1,1595/171.2
Delhi Capitals,10,6,4,0,0,12,0.362,WLWLL,"vs SRH, PBKS, GT",1826/191.1,1818/197.5
Lucknow Super Giants,10,5,5,0,0,10,-0.325,WLWLL,"vs PBKS, RCB, GT",1866/195.4,1905/193.1
Kolkata Knight Riders,10,4,5,0,1,9,0.271,WLLNRW,"vs RR, CSK, SRH",1442/167.4,1409/169.1
Rajasthan Royals,11,3,8,0,0,6,-0.780,LLLWL,"vs KKR, CSK, PBKS",2001/215.5,2161/215.0
Sunrisers Hyderabad,10,3,7,0,0,6,-1.192,WLLWL,"vs DC, KKR, RCB",1804/197.1,1889/182.4
Chennai Super Kings,11,2,9,0,0,4,-1.117,WLLLL,"vs KKR, RR, GT",1841/218.4,1947/204.1
